Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,year
Atlanta Braves,38,27.8,3.90,162,6107,5422,632,1338,234,27,111,578,140,85,555,896,.247,.317,.361,.678,85,1959,113,20,64,45,70,1137,1984
Baltimore Orioles,37,29.9,4.20,162,6187,5456,681,1374,234,23,160,647,51,36,620,884,.252,.328,.391,.719,102,2134,133,22,45,43,48,1203,1984
Boston Red Sox,33,29.2,5.00,162,6251,5648,810,1598,259,45,181,767,38,25,500,842,.283,.341,.441,.782,111,2490,148,20,36,46,48,1128,1984
California Angels,37,31.7,4.30,162,6166,5470,696,1363,211,30,150,649,80,51,556,928,.249,.319,.381,.700,94,2084,140,29,65,46,33,1098,1984
Chicago Cubs,40,29.4,4.73,161,6143,5437,762,1415,240,47,136,703,154,66,567,967,.260,.331,.397,.727,98,2157,102,29,59,51,69,1118,1984
Chicago White Sox,40,28.7,4.19,162,6156,5513,679,1360,225,38,172,640,109,49,523,883,.247,.314,.395,.709,92,2177,111,39,37,44,43,1097,1984
Cincinnati Reds,43,29.3,3.87,162,6201,5498,627,1342,238,30,106,578,160,63,566,978,.244,.313,.356,.669,85,1958,99,12,71,53,62,1148,1984
Cleveland Indians,40,27.3,4.67,163,6375,5643,761,1498,222,39,123,704,126,77,600,815,.265,.335,.384,.719,98,2167,137,27,37,67,34,1185,1984
Detroit Tigers,35,28.4,5.12,162,6375,5644,829,1529,254,46,187,788,106,68,602,941,.271,.342,.432,.774,114,2436,102,34,48,45,51,1214,1984
Houston Astros,36,30.1,4.28,162,6201,5548,693,1465,222,67,79,640,105,61,494,837,.264,.323,.371,.694,102,2058,88,17,87,55,57,1160,1984
Kansas City Royals,36,29.4,4.15,162,6065,5543,673,1487,269,52,117,639,106,64,400,832,.268,.317,.399,.716,98,2211,128,24,41,55,39,1071,1984
Los Angeles Dodgers,38,26.9,3.58,162,6042,5399,580,1316,213,23,102,530,109,69,488,829,.244,.306,.348,.654,86,1881,120,14,92,48,56,1075,1984
Milwaukee Brewers,36,29.7,3.98,161,6057,5511,641,1446,232,36,96,598,52,57,432,673,.262,.317,.370,.686,93,2038,152,26,42,46,35,1087,1984
Minnesota Twins,39,25.7,4.15,162,6107,5562,673,1473,259,33,114,636,39,30,437,735,.265,.318,.385,.703,91,2140,138,24,26,58,45,1125,1984
Montreal Expos,43,28.8,3.68,161,6042,5439,593,1367,242,36,96,553,131,38,470,782,.251,.312,.362,.674,93,1969,101,25,74,34,50,1149,1984
New York Mets,40,27.2,4.02,162,6066,5438,652,1400,235,25,107,607,149,54,500,1001,.257,.320,.369,.689,95,2006,132,20,59,49,73,1107,1984
New York Yankees,41,29.6,4.68,162,6356,5661,758,1560,275,32,130,725,62,38,534,673,.276,.339,.404,.743,109,2289,147,38,64,59,41,1217,1984
Oakland Athletics,37,29.8,4.56,162,6161,5457,738,1415,257,29,158,697,145,64,568,871,.259,.327,.404,.731,109,2204,116,22,37,77,29,1115,1984
Philadelphia Phillies,39,28.7,4.44,162,6284,5614,720,1494,248,51,147,673,186,60,555,1084,.266,.333,.407,.740,106,2285,140,29,39,46,60,1187,1984
Pittsburgh Pirates,37,28.3,3.80,162,6119,5537,615,1412,237,33,98,586,96,62,438,841,.255,.310,.363,.672,89,2009,131,19,81,44,47,1084,1984
San Diego Padres,31,28.3,4.23,162,6119,5504,686,1425,207,42,109,629,152,68,472,810,.259,.317,.371,.688,94,2043,132,24,64,55,70,1086,1984
Seattle Mariners,40,27.1,4.21,162,6216,5546,682,1429,244,34,129,635,116,62,519,871,.258,.324,.384,.708,97,2128,101,42,66,38,35,1184,1984
San Francisco Giants,39,29.1,4.21,162,6293,5650,682,1499,229,26,112,646,126,76,528,980,.265,.328,.375,.702,100,2116,141,17,51,44,44,1188,1984
St. Louis Cardinals,41,28.1,4.02,162,6091,5433,652,1369,225,44,75,610,220,71,516,924,.252,.317,.351,.668,90,1907,120,23,68,46,49,1101,1984
Texas Rangers,35,28.4,4.07,161,6100,5569,656,1452,227,29,120,618,81,50,420,807,.261,.313,.377,.689,88,2097,130,20,47,43,36,1090,1984
Toronto Blue Jays,33,27.6,4.60,163,6286,5687,750,1555,275,68,143,702,193,67,460,816,.273,.331,.421,.752,104,2395,91,52,35,49,46,1177,1984
League Average,36,28.6,4.26,162,6176,5532,689,1438,239,38,125,645,117,58,512,865,.260,.323,.385,.708,97,2128,123,26,55,49,49,1136,1984
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1984
,935,28.6,4.26,4210,160566,143829,17921,37381,6213,985,3258,16778,3032,1511,13320,22500,.260,.323,.385,.708,97,55338,3193,668,1435,1286,1270,29531,1984
Atlanta Braves,33,28.1,3.90,162,6208,5526,632,1359,213,28,126,598,72,52,553,849,.246,.315,.363,.678,86,2006,154,22,65,41,56,1163,1985
Baltimore Orioles,38,29.6,5.08,161,6212,5517,818,1451,234,22,214,773,69,43,604,908,.263,.336,.430,.765,111,2371,132,19,31,40,30,1124,1985
Boston Red Sox,36,29.5,4.91,163,6420,5720,800,1615,292,31,162,760,66,27,562,816,.282,.347,.429,.776,108,2455,164,30,50,57,39,1241,1985
California Angels,41,32.2,4.52,162,6263,5442,732,1364,215,31,153,685,106,51,648,902,.251,.333,.386,.719,97,2100,138,39,99,35,51,1165,1985
Chicago Cubs,40,30.2,4.23,162,6177,5492,686,1397,239,28,150,640,182,49,562,937,.254,.324,.390,.714,91,2142,119,18,66,39,62,1147,1985
Chicago White Sox,42,27.6,4.52,163,6089,5470,736,1386,247,37,146,695,108,56,471,843,.253,.315,.392,.707,90,2145,119,43,59,45,40,1009,1985
Cincinnati Reds,37,31.4,4.18,162,6145,5431,677,1385,249,34,114,634,159,70,576,856,.255,.327,.376,.703,94,2044,136,23,72,41,72,1134,1985
Cleveland Indians,38,28.0,4.50,162,6121,5527,729,1465,254,31,116,689,132,72,492,817,.265,.324,.385,.709,95,2129,139,15,38,48,26,1068,1985
Detroit Tigers,36,29.5,4.53,161,6223,5575,729,1413,254,45,202,703,75,41,526,926,.253,.318,.424,.742,103,2363,81,27,40,53,56,1142,1985
Houston Astros,38,29.9,4.36,162,6192,5582,706,1457,261,42,121,666,96,56,477,873,.261,.319,.388,.707,100,2165,127,23,66,44,63,1117,1985
Kansas City Royals,35,30.9,4.24,162,6095,5500,687,1384,261,49,154,657,128,48,473,840,.252,.313,.401,.714,95,2205,125,36,44,41,57,1057,1985
Los Angeles Dodgers,41,27.7,4.21,162,6224,5502,682,1434,226,28,129,632,136,58,539,846,.261,.328,.382,.710,102,2103,108,31,104,46,69,1187,1985
Milwaukee Brewers,39,29.9,4.29,161,6158,5568,690,1467,250,44,101,636,69,34,462,746,.263,.319,.379,.698,92,2108,145,19,54,55,33,1130,1985
Minnesota Twins,36,26.3,4.35,162,6128,5509,705,1453,282,41,141,678,68,44,502,779,.264,.326,.407,.733,96,2240,117,31,39,47,36,1144,1985
Montreal Expos,44,27.7,3.93,161,6053,5429,633,1342,242,49,118,593,169,77,492,880,.247,.310,.375,.685,96,2036,112,26,61,45,73,1061,1985
New York Mets,38,28.1,4.29,162,6248,5549,695,1425,239,35,134,651,117,53,546,872,.257,.323,.385,.708,99,2136,131,20,89,44,88,1149,1985
New York Yankees,39,28.8,5.21,161,6236,5458,839,1458,272,31,176,793,155,53,620,771,.267,.344,.425,.769,112,2320,119,50,48,60,50,1125,1985
Oakland Athletics,36,29.6,4.67,162,6215,5581,757,1475,230,34,155,690,117,58,508,861,.264,.325,.401,.726,105,2238,128,16,63,47,29,1073,1985
Philadelphia Phillies,37,27.9,4.12,162,6122,5477,667,1343,238,47,141,628,122,51,527,1095,.245,.312,.383,.695,92,2098,124,25,49,44,51,1099,1985
Pittsburgh Pirates,43,28.2,3.53,161,6099,5436,568,1340,251,28,80,535,110,60,514,842,.247,.311,.347,.658,85,1887,131,14,91,44,64,1132,1985
San Diego Padres,33,29.7,4.01,162,6150,5507,650,1405,241,28,109,611,60,39,513,809,.255,.320,.368,.688,93,2029,128,23,75,32,68,1156,1985
Seattle Mariners,42,26.9,4.44,162,6185,5521,719,1410,277,38,171,686,94,35,564,942,.255,.326,.412,.738,101,2276,147,31,28,41,36,1143,1985
San Francisco Giants,36,27.7,3.43,162,6063,5420,556,1263,217,31,115,517,99,55,488,962,.233,.299,.348,.648,85,1887,121,37,93,25,53,1090,1985
St. Louis Cardinals,37,27.6,4.61,162,6182,5467,747,1446,245,59,87,687,314,96,586,853,.264,.335,.379,.714,100,2070,91,18,70,41,61,1105,1985
Texas Rangers,43,29.1,3.83,161,6005,5361,617,1359,213,41,129,578,130,76,530,819,.253,.322,.381,.703,91,2041,136,33,34,45,30,1100,1985
Toronto Blue Jays,40,27.7,4.71,161,6107,5508,759,1482,281,53,158,714,144,77,503,807,.269,.331,.425,.757,103,2343,121,30,21,44,44,1067,1985
League Average,36,28.8,4.33,162,6166,5503,701,1415,247,37,139,659,119,55,532,864,.257,.323,.391,.714,97,2151,127,27,60,44,51,1120,1985
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1985
,943,28.8,4.33,4206,160320,143075,18216,36778,6423,965,3602,17129,3097,1431,13838,22451,.257,.323,.391,.714,97,55937,3293,699,1549,1144,1337,29128,1985
Atlanta Braves,36,29.7,3.82,161,6069,5384,615,1348,241,24,138,575,93,76,538,904,.250,.319,.381,.700,89,2051,124,24,79,42,62,1145,1986
Baltimore Orioles,41,29.8,4.37,162,6203,5524,708,1425,223,13,169,669,64,34,563,862,.258,.327,.395,.722,98,2181,159,31,33,51,26,1159,1986
Boston Red Sox,38,30.6,4.93,161,6255,5498,794,1488,320,21,144,752,41,34,595,707,.271,.346,.415,.761,107,2282,142,66,44,52,56,1213,1986
California Angels,38,31.7,4.85,162,6297,5433,786,1387,236,36,167,743,109,42,671,860,.255,.338,.404,.742,103,2196,134,40,91,61,45,1182,1986
Chicago Cubs,39,29.7,4.25,160,6127,5499,680,1409,258,27,155,638,132,62,508,966,.256,.318,.398,.716,91,2186,113,15,54,51,56,1087,1986
Chicago White Sox,47,27.3,3.98,162,6030,5406,644,1335,197,34,121,605,115,54,487,940,.247,.310,.363,.673,80,1963,123,34,50,53,29,1036,1986
Cincinnati Reds,34,30.8,4.52,162,6246,5536,732,1404,237,35,144,670,177,53,586,920,.254,.325,.387,.712,93,2143,127,18,65,41,55,1129,1986
Cleveland Indians,36,27.4,5.10,163,6288,5702,831,1620,270,45,157,775,141,54,456,944,.284,.337,.430,.767,109,2451,129,24,56,49,26,1122,1986
Detroit Tigers,40,30.5,4.93,162,6269,5512,798,1447,234,30,198,751,138,58,613,885,.263,.338,.424,.762,107,2335,99,43,52,49,35,1164,1986
Houston Astros,40,29.9,4.04,162,6095,5441,654,1388,244,32,125,613,163,75,536,916,.255,.322,.381,.703,96,2071,126,24,53,41,78,1113,1986
Kansas City Royals,36,30.9,4.04,162,6128,5561,654,1403,264,45,137,618,97,46,474,919,.252,.313,.390,.703,90,2168,101,36,24,33,40,1142,1986
Los Angeles Dodgers,38,28.0,3.94,162,6101,5471,638,1373,232,14,130,599,155,67,478,966,.251,.313,.370,.683,94,2023,109,32,81,39,58,1083,1986
Milwaukee Brewers,39,29.2,4.14,161,6126,5461,667,1393,255,38,127,625,100,50,530,986,.255,.321,.385,.707,90,2105,122,27,53,53,26,1143,1986
Minnesota Twins,38,26.8,4.57,162,6151,5531,741,1446,257,39,196,700,81,61,501,977,.261,.325,.428,.753,103,2369,123,37,44,38,33,1087,1986
Montreal Expos,43,27.4,3.96,161,6174,5508,637,1401,255,50,110,602,193,95,537,1016,.254,.322,.379,.701,93,2086,113,33,53,42,72,1137,1986
New York Mets,36,28.0,4.83,162,6349,5558,783,1462,261,31,148,730,118,48,631,968,.263,.339,.401,.740,106,2229,122,31,75,53,68,1192,1986
New York Yankees,43,29.2,4.92,162,6325,5570,797,1512,275,23,188,745,139,48,645,911,.271,.347,.430,.778,112,2397,142,28,36,46,52,1217,1986
Oakland Athletics,44,28.6,4.51,162,6127,5435,731,1370,213,25,163,683,139,61,553,983,.252,.322,.390,.712,100,2122,105,32,56,51,24,1087,1986
Philadelphia Phillies,42,27.8,4.59,161,6229,5483,739,1386,266,39,154,696,153,59,589,1154,.253,.327,.400,.727,98,2192,98,40,66,51,70,1151,1986
Pittsburgh Pirates,39,27.2,4.09,162,6164,5456,663,1366,273,33,111,618,152,84,569,929,.250,.321,.374,.695,90,2038,132,20,68,44,55,1100,1986
San Diego Padres,39,29.2,4.05,162,6118,5515,656,1442,239,25,136,629,96,68,484,917,.261,.321,.388,.709,97,2139,130,18,66,35,74,1099,1986
Seattle Mariners,40,26.6,4.43,162,6187,5498,718,1392,243,41,158,681,93,76,572,1148,.253,.326,.399,.724,97,2191,125,34,52,29,38,1104,1986
San Francisco Giants,40,26.9,4.31,162,6212,5501,698,1394,269,29,114,637,148,93,536,1087,.253,.322,.375,.697,97,2063,83,37,101,34,86,1132,1986
St. Louis Cardinals,38,27.4,3.73,161,6122,5378,601,1270,216,48,58,550,262,78,568,905,.236,.309,.327,.636,76,1756,83,20,108,46,69,1129,1986
Texas Rangers,37,27.3,4.76,162,6148,5529,771,1479,248,43,184,725,103,85,511,1088,.267,.331,.428,.759,104,2365,133,35,31,42,33,1038,1986
Toronto Blue Jays,36,28.4,4.96,163,6318,5716,809,1540,285,35,181,767,110,59,496,848,.269,.329,.427,.755,102,2438,122,33,24,49,23,1099,1986
League Average,37,28.7,4.41,162,6187,5504,713,1418,250,33,147,669,127,62,547,950,.258,.326,.395,.721,97,2175,120,31,58,45,50,1127,1986
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1986
,953,28.7,4.41,4206,160858,143106,18545,36880,6511,855,3813,17396,3312,1620,14227,24706,.258,.326,.395,.721,97,56540,3119,812,1515,1175,1289,29290,1986
Atlanta Braves,41,29.6,4.64,161,6227,5428,747,1401,284,24,152,696,135,68,641,834,.258,.339,.403,.742,93,2189,133,38,86,34,82,1172,1987
Baltimore Orioles,41,30.2,4.50,162,6185,5576,729,1437,219,20,211,701,69,45,524,939,.258,.322,.418,.740,97,2329,139,22,31,32,29,1104,1987
Boston Red Sox,35,28.8,5.20,162,6359,5586,842,1554,273,26,174,802,77,45,606,825,.278,.352,.430,.781,105,2401,129,57,52,58,41,1197,1987
California Angels,37,29.3,4.75,162,6301,5570,770,1406,257,26,172,709,125,44,590,926,.252,.326,.401,.726,94,2231,115,35,70,36,35,1145,1987
Chicago Cubs,36,29.0,4.47,161,6197,5583,720,1475,244,33,209,683,109,48,504,1064,.264,.326,.432,.758,97,2412,109,21,59,30,45,1154,1987
Chicago White Sox,36,27.6,4.62,162,6164,5538,748,1427,283,36,173,706,138,52,487,971,.258,.319,.415,.734,92,2301,117,33,54,52,35,1061,1987
Cincinnati Reds,37,28.9,4.83,162,6196,5560,783,1478,262,29,192,747,169,46,514,928,.266,.330,.427,.757,96,2374,129,31,57,34,55,1068,1987
Cleveland Indians,44,27.5,4.58,162,6212,5606,742,1476,267,30,187,691,140,54,489,977,.263,.324,.422,.745,96,2364,103,31,44,42,30,1133,1987
Detroit Tigers,37,31.1,5.53,162,6444,5649,896,1535,274,32,225,840,106,50,653,913,.272,.349,.451,.800,114,2548,108,46,39,56,44,1227,1987
Houston Astros,43,29.9,4.00,162,6149,5485,648,1386,238,28,122,603,162,46,526,936,.253,.318,.373,.691,86,2046,115,24,58,50,52,1158,1987
Kansas City Royals,38,29.3,4.41,162,6128,5499,715,1443,239,40,168,677,125,43,523,1034,.262,.328,.412,.740,93,2266,127,30,34,42,32,1144,1987
Los Angeles Dodgers,48,28.1,3.92,162,6114,5517,635,1389,236,23,125,594,128,59,445,923,.252,.309,.371,.680,81,2046,126,31,82,39,70,1094,1987
Milwaukee Brewers,37,27.5,5.32,162,6370,5625,862,1552,272,46,163,832,176,74,598,1040,.276,.346,.428,.774,102,2405,104,32,63,50,40,1152,1987
Minnesota Twins,36,27.6,4.85,162,6090,5441,786,1422,258,35,196,733,113,65,523,898,.261,.328,.430,.758,97,2338,128,38,47,39,45,1041,1987
Montreal Expos,41,27.5,4.57,162,6162,5527,741,1467,310,39,120,695,166,74,501,918,.265,.328,.401,.729,90,2215,100,35,57,42,77,1091,1987
New York Mets,39,28.0,5.08,162,6335,5601,823,1499,287,34,192,771,159,49,592,1012,.268,.339,.434,.773,108,2430,94,31,70,39,74,1189,1987
New York Yankees,48,29.7,4.86,162,6222,5511,788,1445,239,16,196,749,105,43,604,949,.262,.336,.418,.754,100,2304,150,28,38,38,37,1119,1987
Oakland Athletics,45,27.6,4.98,162,6238,5511,806,1432,263,33,199,761,140,63,593,1056,.260,.333,.428,.761,107,2358,113,36,50,48,39,1095,1987
Philadelphia Phillies,38,28.6,4.33,162,6190,5475,702,1390,248,51,169,662,111,49,587,1109,.254,.327,.410,.737,92,2247,133,25,63,40,51,1138,1987
Pittsburgh Pirates,49,26.4,4.46,162,6225,5536,723,1464,282,45,131,684,140,58,535,914,.264,.330,.403,.732,93,2229,121,29,71,51,67,1163,1987
San Diego Padres,39,26.4,4.12,162,6177,5456,668,1419,209,48,113,621,198,91,577,992,.260,.332,.378,.710,91,2063,122,27,81,36,75,1166,1987
Seattle Mariners,41,26.8,4.69,162,6145,5508,760,1499,282,48,161,717,174,73,500,863,.272,.335,.428,.763,97,2360,132,43,38,50,19,1081,1987
San Francisco Giants,46,27.9,4.83,162,6250,5608,783,1458,274,32,205,731,126,97,511,1094,.260,.324,.430,.754,102,2411,99,39,55,35,73,1079,1987
St. Louis Cardinals,39,28.1,4.93,162,6299,5500,798,1449,252,49,94,746,248,72,644,933,.263,.340,.378,.718,89,2081,126,18,84,51,61,1140,1987
Texas Rangers,39,26.3,5.08,162,6248,5564,823,1478,264,35,194,772,120,71,567,1081,.266,.333,.430,.764,101,2394,116,24,42,51,34,1077,1987
Toronto Blue Jays,38,27.8,5.22,162,6295,5635,845,1514,277,38,215,790,126,50,555,970,.269,.336,.446,.782,104,2512,136,38,30,35,45,1126,1987
League Average,38,28.3,4.72,162,6228,5542,765,1458,261,34,171,720,138,59,553,965,.263,.331,.415,.747,97,2302,120,32,56,43,50,1127,1987
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1987
,975,28.3,4.72,4210,161922,144095,19883,37895,6793,896,4458,18713,3585,1529,14389,25099,.263,.331,.415,.747,97,59854,3124,842,1455,1110,1287,29314,1987
Atlanta Braves,40,28.9,3.47,160,6013,5440,555,1319,228,28,96,527,95,69,432,848,.242,.298,.348,.646,83,1891,136,21,74,46,59,1038,1988
Baltimore Orioles,43,27.7,3.42,161,5979,5358,550,1275,199,20,137,517,69,44,504,869,.238,.305,.359,.664,88,1925,140,32,40,45,31,1092,1988
Boston Red Sox,37,28.8,5.02,162,6334,5545,813,1569,310,39,124,760,65,36,623,728,.283,.357,.420,.777,114,2329,139,45,66,55,53,1269,1988
California Angels,44,29.5,4.41,162,6215,5582,714,1458,258,31,124,660,86,52,469,819,.261,.321,.385,.706,100,2150,120,49,63,52,48,1119,1988
Chicago Cubs,39,27.6,4.05,163,6203,5675,660,1481,262,46,113,612,120,46,403,910,.261,.310,.383,.693,95,2174,109,21,57,46,58,1136,1988
Chicago White Sox,44,27.3,3.92,161,6039,5449,631,1327,224,35,132,573,98,46,446,908,.244,.303,.370,.673,88,2017,118,34,67,43,50,1058,1988
Cincinnati Reds,45,27.5,3.98,161,6063,5426,641,1334,246,25,122,588,207,56,479,922,.246,.309,.368,.677,91,1996,99,37,69,51,60,1075,1988
Cleveland Indians,44,28.1,4.11,162,6046,5505,666,1435,235,28,134,629,97,50,416,866,.261,.314,.387,.701,94,2128,108,37,36,51,43,1069,1988
Detroit Tigers,37,32.1,4.34,162,6153,5433,703,1358,213,28,143,650,87,42,588,841,.250,.324,.378,.703,100,2056,136,29,66,37,38,1124,1988
Houston Astros,39,29.5,3.81,162,6127,5494,617,1338,239,31,96,575,198,71,474,840,.244,.306,.351,.657,92,1927,103,38,77,44,67,1087,1988
Kansas City Royals,41,29.6,4.37,161,6086,5469,704,1419,275,40,121,671,137,54,486,944,.259,.321,.391,.712,98,2137,105,33,46,51,44,1104,1988
Los Angeles Dodgers,38,28.9,3.88,162,6045,5431,628,1346,217,25,99,587,131,46,437,947,.248,.305,.352,.657,90,1910,118,32,95,50,65,1075,1988
Milwaukee Brewers,35,28.4,4.21,162,6066,5488,682,1409,258,26,113,632,159,55,439,911,.257,.314,.375,.689,92,2058,123,37,59,41,55,1058,1988
Minnesota Twins,41,28.4,4.69,162,6181,5510,759,1508,294,31,151,710,107,63,528,832,.274,.340,.421,.761,111,2317,130,55,37,50,52,1158,1988
Montreal Expos,40,28.2,3.85,163,6170,5573,628,1400,260,48,107,575,189,89,454,1053,.251,.309,.373,.682,92,2077,120,32,66,44,71,1081,1988
New York Mets,32,27.8,4.39,160,6105,5408,703,1387,251,24,152,659,140,51,544,842,.256,.325,.396,.721,111,2142,94,32,65,56,79,1138,1988
New York Yankees,41,30.4,4.80,161,6297,5592,772,1469,272,12,148,713,146,39,588,935,.263,.333,.395,.728,105,2209,130,30,36,51,56,1170,1988
Oakland Athletics,35,28.0,4.94,162,6356,5602,800,1474,251,22,156,752,129,54,580,926,.263,.336,.399,.736,109,2237,142,65,54,55,29,1158,1988
Philadelphia Phillies,43,28.9,3.69,162,6055,5403,597,1294,246,31,106,567,112,49,489,981,.239,.306,.355,.661,89,1920,106,47,67,48,51,1115,1988
Pittsburgh Pirates,42,26.1,4.07,160,6091,5379,651,1327,240,45,110,619,119,60,553,947,.247,.317,.369,.687,99,1987,97,32,66,60,65,1137,1988
San Diego Padres,35,27.2,3.69,161,6032,5366,594,1325,205,35,94,566,123,50,494,892,.247,.310,.351,.661,91,1882,117,21,106,45,59,1109,1988
Seattle Mariners,40,27.0,4.12,161,6018,5436,664,1397,271,27,148,617,95,61,461,787,.257,.317,.398,.716,97,2166,135,38,40,42,24,1044,1988
San Francisco Giants,43,28.3,4.14,162,6178,5450,670,1353,227,44,113,629,121,78,550,1023,.248,.318,.368,.686,101,2007,96,33,91,51,71,1130,1988
St. Louis Cardinals,41,28.1,3.57,162,6177,5518,578,1373,207,33,71,536,234,64,484,827,.249,.309,.337,.646,86,1859,110,22,105,48,61,1174,1988
Texas Rangers,41,26.7,3.96,161,6157,5479,637,1378,227,39,112,589,130,57,542,1022,.252,.320,.368,.689,91,2019,111,35,48,53,43,1174,1988
Toronto Blue Jays,35,27.3,4.71,162,6194,5557,763,1491,271,47,158,706,107,36,521,935,.268,.332,.419,.751,110,2330,145,31,34,50,35,1105,1988
League Average,37,28.3,4.14,162,6130,5483,668,1394,246,32,122,624,127,55,499,898,.254,.318,.378,.696,97,2071,119,35,63,49,53,1115,1988
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1988
,973,28.3,4.14,4200,159380,142568,17380,36244,6386,840,3180,16219,3301,1418,12984,23355,.254,.318,.378,.696,97,53850,3087,918,1630,1265,1367,28997,1988
Atlanta Braves,46,28.0,3.63,161,6079,5463,584,1281,201,22,128,544,83,54,485,996,.234,.298,.350,.647,84,1910,94,24,65,42,51,1096,1989
Baltimore Orioles,40,27.1,4.37,162,6173,5440,708,1369,238,33,129,659,118,55,593,957,.252,.326,.379,.705,102,2060,140,30,63,47,44,1135,1989
Boston Red Sox,35,29.4,4.78,162,6455,5666,774,1571,326,30,108,716,56,35,643,755,.277,.351,.403,.754,107,2281,169,36,52,58,57,1308,1989
California Angels,37,29.8,4.13,162,6102,5545,669,1422,208,37,145,624,89,40,429,1011,.256,.311,.386,.696,98,2139,114,28,54,46,48,1090,1989
Chicago Cubs,36,27.6,4.33,162,6141,5513,702,1438,235,45,124,653,136,57,472,921,.261,.319,.387,.707,95,2135,114,26,80,50,75,1093,1989
Chicago White Sox,42,27.7,4.30,161,6132,5504,693,1493,262,36,94,661,97,52,464,873,.271,.328,.383,.711,103,2109,113,28,85,51,51,1141,1989
Cincinnati Reds,42,28.1,3.90,162,6158,5520,632,1362,243,28,128,588,128,71,493,1028,.247,.309,.370,.680,91,2045,96,30,66,49,67,1115,1989
Cleveland Indians,47,27.0,3.73,162,6111,5463,604,1340,221,26,127,567,74,51,499,934,.245,.310,.365,.675,90,1994,109,35,72,41,52,1126,1989
Detroit Tigers,46,31.0,3.81,162,6133,5432,617,1315,198,24,116,564,103,50,585,899,.242,.318,.351,.669,91,1909,138,37,35,43,25,1167,1989
Houston Astros,37,29.0,3.99,162,6200,5516,647,1316,239,28,97,598,144,62,530,860,.239,.306,.345,.651,89,1902,80,27,83,44,62,1125,1989
Kansas City Royals,36,30.5,4.26,162,6151,5475,690,1428,227,41,101,653,154,51,554,897,.261,.329,.373,.702,98,2040,141,29,42,50,50,1147,1989
Los Angeles Dodgers,40,29.8,3.46,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,.240,.306,.339,.645,86,1855,98,27,83,41,77,1171,1989
Milwaukee Brewers,40,28.4,4.36,162,6085,5473,707,1415,235,32,126,660,165,62,455,791,.259,.318,.382,.701,98,2092,108,50,51,54,41,1076,1989
Minnesota Twins,43,29.4,4.57,162,6207,5581,740,1542,278,35,117,691,111,53,478,743,.276,.334,.402,.736,102,2241,126,39,51,58,40,1170,1989
Montreal Expos,39,28.9,3.90,162,6207,5482,632,1353,267,30,100,587,160,70,572,958,.247,.319,.361,.681,94,1980,119,35,71,46,83,1166,1989
New York Mets,42,27.5,4.22,162,6131,5489,683,1351,280,21,147,633,158,53,504,934,.246,.311,.385,.696,103,2114,87,33,56,48,69,1103,1989
New York Yankees,49,28.6,4.34,161,6096,5458,698,1470,229,23,130,657,137,60,502,831,.269,.331,.391,.722,104,2135,130,27,58,49,48,1139,1989
Oakland Athletics,41,29.3,4.40,162,6110,5416,712,1414,220,25,127,659,157,55,562,855,.261,.331,.381,.712,104,2065,163,34,36,62,37,1110,1989
Philadelphia Phillies,48,28.9,3.86,163,6128,5447,629,1324,215,36,123,594,106,50,558,926,.243,.314,.364,.677,95,1980,107,22,57,42,57,1151,1989
Pittsburgh Pirates,45,27.0,3.88,164,6261,5539,637,1334,263,53,95,584,155,69,563,914,.241,.311,.359,.670,95,1988,115,24,83,51,91,1143,1989
San Diego Padres,40,27.8,3.96,162,6120,5422,642,1360,215,32,120,598,136,67,552,1013,.251,.319,.369,.688,96,1999,115,9,95,41,79,1134,1989
Seattle Mariners,40,26.6,4.28,162,6134,5512,694,1417,237,29,134,653,81,55,489,838,.257,.320,.384,.703,96,2114,109,45,35,52,40,1113,1989
San Francisco Giants,45,28.5,4.31,162,6139,5469,699,1365,241,52,141,647,87,54,508,1071,.250,.316,.390,.706,104,2133,84,40,82,39,83,1113,1989
St. Louis Cardinals,33,29.3,3.85,164,6141,5492,632,1418,263,47,73,587,155,54,507,848,.258,.321,.363,.684,93,1994,120,21,78,43,59,1143,1989
